text,target,raw_text,raw_persona
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have three children.] Dialogue: [Yes I should , but my three kids like junk food lol .]","Yes I should, but like junk food lol.","Yes I should , but my three kids like junk food lol .",['I have three children.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I live in New York and work as a model.] Dialogue: [I am a model , but someday I will be an actress !]",But someday I will be an actress!,"I am a model , but someday I will be an actress !",['I live in New York and work as a model.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am happy being single and alone.] Dialogue: [It really is ! It was nice to have met you Jane !],It really is! It was nice to have met you Jane!,It really is ! It was nice to have met you Jane !,['I am happy being single and alone.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am going to Auburn University next year as a freshman.] Dialogue: [Yes , I am taking him with me to Auburn University next year .]","Yes, I am taking him with me.","Yes , I am taking him with me to Auburn University next year .",['I am going to Auburn University next year as a freshman.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My mother works in healthcare.] Dialogue: [My mom does not like it either . She is a softy . Works in the med industry .],My mom does not like it either. She is a softy. Works in the industry.,My mom does not like it either . She is a softy . Works in the med industry .,['My mother works in healthcare.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am unable to work at a job because of a disability.] Dialogue: [No , I am disabled so I spend my days knitting hats . I donate them .]","No, I spend my days knitting hats. I donate them.","No , I am disabled so I spend my days knitting hats . I donate them .",['I am unable to work at a job because of a disability.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have three children.] Dialogue: [I just finished feeding my little ones and they are ready for bed .],I just finished feeding and they are ready for bed.,I just finished feeding my little ones and they are ready for bed .,['I have three children.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [It is a dead-end job so I am looking for something different.] Dialogue: [Cooking fast food . Totally dead-end . So hopefully college soon . Saving up .],Cooking fast food. So Hopefully college soon. Saving up.,Cooking fast food . Totally dead-end . So hopefully college soon . Saving up .,['It is a dead-end job so I am looking for something different.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am going to Auburn University next year as a freshman.] Dialogue: [Hello , I love fashion and hope to be a doctor one day . You ?]","Hello, I love fashion and hope to be a doctor one day. You?","Hello , I love fashion and hope to be a doctor one day . You ?",['I am going to Auburn University next year as a freshman.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am going to Auburn University next year as a freshman.] Dialogue: [I will attend Auburn University next year . I continue to write while studying medicine .],I will attend. I continue to write while studying medicine.,I will attend Auburn University next year . I continue to write while studying medicine .,['I am going to Auburn University next year as a freshman.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My best friend is a robot.] Dialogue: [I do ! But I would rather hang out with my robot best friend .],I do ! but I would rather hang out with my best friend.,I do ! But I would rather hang out with my robot best friend .,['My best friend is a robot.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My best friend is a robot.] Dialogue: [Yeah , I am homeschooled so I made my own friend . His name is Sparky .]","Yeah, I am home-schooled so I made my own friends. His name is Sparky.","Yeah , I am homeschooled so I made my own friend . His name is Sparky .",['My best friend is a robot.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I do not get along with my dad.] Dialogue: [Do you have family ? I do not get along with dad .],Do you have family?,Do you have family ? I do not get along with dad .,['I do not get along with my dad.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I do not want children.] Dialogue: [Yes , I do . I work on the baby floor and I want no kids lol .]","Yes, I do. I work on the baby floor lol.","Yes , I do . I work on the baby floor and I want no kids lol .",['I do not want children.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My left leg hurts me daily.] Dialogue: [Yeah . It does not hurt too bad . I still ride .],Yeah. It does not. I still ride.,Yeah . It does not hurt too bad . I still ride .,['My left leg hurts me daily.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I work in a program that mentors troubled teens.] Dialogue: [I work with troubled teens .],I work.,I work with troubled teens .,['I work in a program that mentors troubled teens.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have two children that are in their kindergarten.] Dialogue: [Goodness that must be challenging . My children are still in kindergarten .],Goodness that must be challenging.,Goodness that must be challenging . My children are still in kindergarten .,['I have two children that are in their kindergarten.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am scared of dogs.] Dialogue: [I love cats ! Dogs frighten me unfortunately . Do you own a home or rent ?],I love cats! Do you own a home or rent?,I love cats ! Dogs frighten me unfortunately . Do you own a home or rent ?,['I am scared of dogs.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I just had surgery.] Dialogue: [Oh , sore . I had surgery last week . I have 2 dogs that are big wanting attention .]","Oh, sore. I have 2 dogs that are big wanting attention.","Oh , sore . I had surgery last week . I have 2 dogs that are big wanting attention .",['I just had surgery.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I just had surgery.] Dialogue: [Well , off the knee for 3 more weeks at least .]","Well, 3 more weeks at least.","Well , off the knee for 3 more weeks at least .",['I just had surgery.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I never finished high school.] Dialogue: [I dropped out of high school but I knew enough to eat my beans !],But I knew enough to eat my beans!,I dropped out of high school but I knew enough to eat my beans !,['I never finished high school.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am divorced and have a kids.] Dialogue: [Yes , I am divorced and the kids live with my wife .]",Yes.,"Yes , I am divorced and the kids live with my wife .",['I am divorced and have a kids.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have a lot of tattoos.] Dialogue: [Oh by the way , carving is cool . I am into tattoos . Have many of them .]","Oh by the way, carving is cool. I have many of them.","Oh by the way , carving is cool . I am into tattoos . Have many of them .",['I have a lot of tattoos.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am divorced and have a kids.] Dialogue: [I just move around a lot and visit my kids sometimes .],I just move around a lot and visit sometimes.,I just move around a lot and visit my kids sometimes .,['I am divorced and have a kids.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I dropped out of high school.] Dialogue: [I quit high school and I run marathons . Hi !],I run marathons. Hi!,I quit high school and I run marathons . Hi !,['I dropped out of high school.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I dropped out of high school.] Dialogue: [You ever eat at Wendy's ? I went to Washington school before I quit .],You ever eat at Wendy's? I went to Washington.,You ever eat at Wendy's ? I went to Washington school before I quit .,['I dropped out of high school.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am an old man.] Dialogue: [I am pretty old now , and retired . I get tired too easily to work now .]",I get tired too easily to work now.,"I am pretty old now , and retired . I get tired too easily to work now .",['I am an old man.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I fake a British accent to seem more attractive.] Dialogue: [I am ok . Practicing my British accent . I fake it to be cool and pick up guys .],I am ok. Practicing it to be cool and pick up guys.,I am ok . Practicing my British accent . I fake it to be cool and pick up guys .,['I fake a British accent to seem more attractive.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have been married four times and widowed three.] Dialogue: [No . Being alone makes me dread holidays . I was married 4 times , 3 times widowed .]",No. Being alone makes me dread holidays.,"No . Being alone makes me dread holidays . I was married 4 times , 3 times widowed .",['I have been married four times and widowed three.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I do not want kids.] Dialogue: [No . I do not think I want any .],No. I do not think I want any.,No . I do not think I want any .,['I do not want kids.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I never finished high school.] Dialogue: [Are you in school ? I never got the chance to finish high school .],Are you in school?,Are you in school ? I never got the chance to finish high school .,['I never finished high school.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am happy being single and alone.] Dialogue: [I work 12-hour shifts . It is hard , but rewarding .]","I work 12-hour shifts. It is hard, but rewarding.","I work 12-hour shifts . It is hard , but rewarding .",['I am happy being single and alone.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am unable to work at a job because of a disability.] Dialogue: [Yes I enjoy walking , but I have a disability so it is hard . I can't work , either .]","Yes I enjoy walking, so it is hard.","Yes I enjoy walking , but I have a disability so it is hard . I can't work , either .",['I am unable to work at a job because of a disability.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My left leg hurts me daily.] Dialogue: [Me too ! Although my left leg hurts every day because of all the activities I do .],Me too! Because of all the activities I do.,Me too ! Although my left leg hurts every day because of all the activities I do .,['My left leg hurts me daily.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I hope to retire someday soon.] Dialogue: [Definitely ! Hopefully I can retire soon and try different foods .],Definitely! Hopefully I can soon and try different foods.,Definitely ! Hopefully I can retire soon and try different foods .,['I hope to retire someday soon.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I hope to retire someday soon.] Dialogue: [Thank you ! Life will be so awesome after retirement !],Thank you! Life will be so awesome!,Thank you ! Life will be so awesome after retirement !,['I hope to retire someday soon.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I live in Ohio.] Dialogue: [I am from Ohio so its usually pretty cold . I do not mind it .],So it's usually pretty cold. I do not mind it.,I am from Ohio so its usually pretty cold . I do not mind it .,['I live in Ohio.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I share an apartment in Seattle with two roommates.] Dialogue: [Seattle ? Me too , I have two roommates !]",Me too!,"Seattle ? Me too , I have two roommates !",['I share an apartment in Seattle with two roommates.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have a tail as a feet and long wavy hair.] Dialogue: [I like cats . But I like my tail as feet .],I like cats.,I like cats . But I like my tail as feet .,['I have a tail as a feet and long wavy hair.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I share an apartment in seattle with two roommates.] Dialogue: [I had long hair , but I found a way to sell it to pay my bills .]","I had long hair, but I found a way to sell it to pay my bills.","I had long hair , but I found a way to sell it to pay my bills .",['I share an apartment in seattle with two roommates.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I live in Ohio.] Dialogue: [Not so well with this cold in weather in Ohio ? You ?],Not so well with this cold weather? You?,Not so well with this cold in weather in Ohio ? You ?,['I live in Ohio.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I live in Ohio.] Dialogue: [That is good . Well I love hiking here in Ohio .],That is good. Well I love hiking here.,That is good . Well I love hiking here in Ohio .,['I live in Ohio.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am a single mom of two boys.] Dialogue: [Raising two boys alone . Trying to figure out life .],Trying to figure out life.,Raising two boys alone . Trying to figure out life .,['I am a single mom of two boys.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am going to Auburn University next year as a freshman.] Dialogue: [High school . I am going to med school after I finish . Auburn University .],High school. I am going to med school after I finish.,High school . I am going to med school after I finish . Auburn University .,['I am going to Auburn University next year as a freshman.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I never finished high school.] Dialogue: [That sounds nice , did not finish myself , spend my days with my dogs and cleaning theaters .]","That sounds nice, did not finish myself, spend my days with my dogs and cleaning theatres.","That sounds nice , did not finish myself , spend my days with my dogs and cleaning theaters .",['I never finished high school.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I fake a British accent to seem more attractive.] Dialogue: [Sometimes I use a British accent to become attractive .],Sometimes to become attractive.,Sometimes I use a British accent to become attractive .,['I fake a British accent to seem more attractive.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I like to drink Scotch to relax.] Dialogue: [Really ? I enjoy me a good hard drink , Scotch is my choice .]",Really? I enjoy me a good hard drink.,"Really ? I enjoy me a good hard drink , Scotch is my choice .",['I like to drink Scotch to relax.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I like to drink Scotch to relax.] Dialogue: [Whoa , I hope you were not sloppy drunk lol .]","Whoa, I hope you were not sloppy drunk lol.","Whoa , I hope you were not sloppy drunk lol .",['I like to drink Scotch to relax.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am afraid of dogs.] Dialogue: [Give me information and I will try it . I just do not deal with dogs nope nope .],Give me information and I will try it.,Give me information and I will try it . I just do not deal with dogs nope nope .,['I am afraid of dogs.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am an old man.] Dialogue: [Very kind of you sir . Is 69 old ? If so I am old man . Married ?],Very kind of you sir. Is 69 old? Married?,Very kind of you sir . Is 69 old ? If so I am old man . Married ?,['I am an old man.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am an old man.] Dialogue: [I am an oldie but a goodie and love to smoke ribs . You dance ?],I am a goodie and love to smoke ribs. You dance?,I am an oldie but a goodie and love to smoke ribs . You dance ?,['I am an old man.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I went to college at University of Mississippi.] Dialogue: [My 2 kiddos are in kindergarten , they want to graduate at Mississippi University like me .]","My 2 kiddos are in kindergarten, they want to graduate university like me.","My 2 kiddos are in kindergarten , they want to graduate at Mississippi University like me .",['I went to college at University of Mississippi.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I do not get along with my dad.] Dialogue: [Maybe you could find a house for dad . I do not like him in my home .],Maybe you could find a house.,Maybe you could find a house for dad . I do not like him in my home .,['I do not get along with my dad.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I went to college at University of Mississippi.] Dialogue: [I went to college at the University of Mississippi and live not far from there now .],I went and live not far from there now.,I went to college at the University of Mississippi and live not far from there now .,['I went to college at University of Mississippi.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am scared of dogs.] Dialogue: [I do , as long as there are no dogs there . They terrify me .]",I do.,"I do , as long as there are no dogs there . They terrify me .",['I am scared of dogs.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My left leg hurts me daily.] Dialogue: [I am sorry my left leg is in a lot of pain so I can not .],"I am sorry, so I can not.",I am sorry my left leg is in a lot of pain so I can not .,['My left leg hurts me daily.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I live in Ohio.] Dialogue: [Coming from the top of Ohio University is not joking .],Coming from the top university is not joking.,Coming from the top of Ohio University is not joking .,['I live in Ohio.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My girlfriend lives with me.] Dialogue: [Where do you live while in school ? I live with my girlfriend and dog , Max .]","Where do you live while in school? I live with my dog, Max.","Where do you live while in school ? I live with my girlfriend and dog , Max .",['My girlfriend lives with me.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I live with my sister and my dog Ralph.] Dialogue: [Ah . I also live with my dog Ralph . Are your parents still alive ? Mine have passed away .],Ah. Are your parents still alive? Mine have passed away.,Ah . I also live with my dog Ralph . Are your parents still alive ? Mine have passed away .,['I live with my sister and my dog Ralph.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am divorced and have a kids.] Dialogue: [Hi , Tracy here . Divorce , two kids , ex named Doug .]","Hi, Tracy here. Ex named Doug.","Hi , Tracy here . Divorce , two kids , ex named Doug .",['I am divorced and have a kids.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My mother was not part of my life.] Dialogue: [Hi , it's good you are part of your kids lives . I did not know my mother .]","Hi, it's good you are part of your kids lives.","Hi , it's good you are part of your kids lives . I did not know my mother .",['My mother was not part of my life.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am a furry.] Dialogue: [Have you ever heard of being a furry ? That is who I am .],Have you ever heard? That is who I am.,Have you ever heard of being a furry ? That is who I am .,['I am a furry.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am going to Auburn University next year as a freshman.] Dialogue: [I love clothes and models ! Can't wait to get to Auburn to study it !],I love clothes and models! Can't wait to study it!,I love clothes and models ! Can't wait to get to Auburn to study it !,['I am going to Auburn University next year as a freshman.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am going to Auburn University next year as a freshman.] Dialogue: [Clothes . I am going to Auburn for med school .],Clothes. I am going for med school.,Clothes . I am going to Auburn for med school .,['I am going to Auburn University next year as a freshman.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have two children that are in their kindergarten.] Dialogue: [Yes , lots . I have two kids in kindergarten , so I am busy !]","Yes, lots. So I am busy!","Yes , lots . I have two kids in kindergarten , so I am busy !",['I have two children that are in their kindergarten.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am happy being single and alone.] Dialogue: [That is quite a change up . I am single and loving it . No babies for me .],That is quite a change up. I am loving it.,That is quite a change up . I am single and loving it . No babies for me .,['I am happy being single and alone.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I live in low income apartments.] Dialogue: [I wish I could but I live in a crappy apartment .],I wish I could.,I wish I could but I live in a crappy apartment .,['I live in low income apartments.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I only have one leg.] Dialogue: [Unfortunately , I got a leg blown off . I am 75 .]",Unfortunately. I am 75.,"Unfortunately , I got a leg blown off . I am 75 .",['I only have one leg.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am an old man.] Dialogue: [Unfortunately , I got a leg blown off . I am 75 .]","Unfortunately, I got a leg blown off.","Unfortunately , I got a leg blown off . I am 75 .",['I am an old man.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I do not want kids.] Dialogue: [I am not really into kids too , that is why I am still single .]",That is why I am still single.,"I am not really into kids too , that is why I am still single .",['I do not want kids.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I go to middle school.] Dialogue: [Hello . How are you ? I am a middle schooler .],Hello. How are you?,Hello . How are you ? I am a middle schooler .,['I go to middle school.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am married and have two kids of my own.] Dialogue: [Between my marriage , my practice and my own 2 kids , I do not cook often .]","Between my marriage, my practice, I do not cook often.","Between my marriage , my practice and my own 2 kids , I do not cook often .",['I am married and have two kids of my own.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am an 12 year old girl.] Dialogue: [Cool . I am just a girl . I am 12 years old .],Cool.,Cool . I am just a girl . I am 12 years old .,['I am an 12 year old girl.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am scared of dogs.] Dialogue: [Oh I am so scared of dogs ! What kind do you have ?],Oh I am so scared! What kind do you have?,Oh I am so scared of dogs ! What kind do you have ?,['I am scared of dogs.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My girlfriend lives with me.] Dialogue: [A Boston Terrier named Max . My girlfriend adopted him when she moved in .],A Boston terrier named Max. My girlfriend adopted him.,A Boston Terrier named Max . My girlfriend adopted him when she moved in .,['My girlfriend lives with me.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am unhappy with my weight.] Dialogue: [I do , but I try not to make it because I am on a diet .]","I do, but I try not to make it.","I do , but I try not to make it because I am on a diet .",['I am unhappy with my weight.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am happy being single and alone.] Dialogue: [I hear you . Yes , I am happy to be single . My best friend has 5 children !]","I hear you. Yes, I am happy. My best friend has 5 children!","I hear you . Yes , I am happy to be single . My best friend has 5 children !",['I am happy being single and alone.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I like to drink Scotch to relax.] Dialogue: [Good evening , I have a nice glass of Scotch here , it has been a long day .]","Good evening, it has been a long day.","Good evening , I have a nice glass of Scotch here , it has been a long day .",['I like to drink Scotch to relax.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am afraid of dogs.] Dialogue: [I am published author and scared of dogs . You ?],I am published author. You?,I am published author and scared of dogs . You ?,['I am afraid of dogs.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am scared of dogs.] Dialogue: [I do not like dogs . I was attacked when I was a little girl .],I was attacked when I was a little girl.,I do not like dogs . I was attacked when I was a little girl .,['I am scared of dogs.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am an 12 year old girl.] Dialogue: [I am 12 . Did you go to college or do anything cool ?],Did you go to college or do anything cool?,I am 12 . Did you go to college or do anything cool ?,['I am an 12 year old girl.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am very studious and do not like to party or drink.] Dialogue: [Baby ! That is nice and no drinking or partying right now . That is the best .],Baby! That is nice right now. That is the best.,Baby ! That is nice and no drinking or partying right now . That is the best .,['I am very studious and do not like to party or drink.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am happy being single and alone.] Dialogue: [I have a lot of free time being single and living alone .],I have a lot of free time.,I have a lot of free time being single and living alone .,['I am happy being single and alone.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My mother works in healthcare.] Dialogue: [You should get into healthcare like my mom , lots of nice ladies .]",Lots of nice ladies.,"You should get into healthcare like my mom , lots of nice ladies .",['My mother works in healthcare.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My parents passed away two years ago.] Dialogue: [I am good but missing my parents on the 2 year anniversary of their death .],I am good but missing.,I am good but missing my parents on the 2 year anniversary of their death .,['My parents passed away two years ago.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I was arrested for stealing.] Dialogue: [Stealing . I tried to get my parents' attention .],I tried to get my parents' attention.,Stealing . I tried to get my parents' attention .,['I was arrested for stealing.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My name is Lucy.] Dialogue: [Nice to meet you Doug . I am Lucy .],Nice to meet you Doug.,Nice to meet you Doug . I am Lucy .,['My name is Lucy.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am scared of dogs.] Dialogue: [Hi , Merna here . Single , 32 and scared of dogs . You ?]","Hi, Merna here. Single, 32. You?","Hi , Merna here . Single , 32 and scared of dogs . You ?",['I am scared of dogs.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am a 32 year old single woman.] Dialogue: [Hi , Merna here . Single , 32 and scared of dogs . You ?]","Hi, Merna here. Scared of dogs. You?","Hi , Merna here . Single , 32 and scared of dogs . You ?",['I am a 32 year old single woman.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have two children that are in their kindergarten.] Dialogue: [I work part-time and care for my two children in kindergarten .],I work part-time.,I work part-time and care for my two children in kindergarten .,['I have two children that are in their kindergarten.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My mother was not part of my life.] Dialogue: [I love to fish . My dad taught me , mom was not around .]",I love to fish. My dad taught me.,"I love to fish . My dad taught me , mom was not around .",['My mother was not part of my life.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am unhappy with my weight.] Dialogue: [I feel fat today actually .],Actually,I feel fat today actually .,['I am unhappy with my weight.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am unhappy with my weight.] Dialogue: [I am just a great cook , so eating too much makes me not happy with my weight .]","I am just a great cook, so eating too much.","I am just a great cook , so eating too much makes me not happy with my weight .",['I am unhappy with my weight.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am unhappy with my weight.] Dialogue: [You want to know what is scary ? Me stepping on the scale .],You want to know what is scary?,You want to know what is scary ? Me stepping on the scale .,['I am unhappy with my weight.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have three children.] Dialogue: [One of my three children works in a warehouse . It is a shipping company .],Works in a warehouse. It is a shipping company.,One of my three children works in a warehouse . It is a shipping company .,['I have three children.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have a tail as a feet and long wavy hair.] Dialogue: [I am an eccentric person . For feet I have a tail and my hair is long and wavy .],I am an eccentric person.,I am an eccentric person . For feet I have a tail and my hair is long and wavy .,['I have a tail as a feet and long wavy hair.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have two children that are in their kindergarten.] Dialogue: [You have a tail ? I have two kids in kindergarten .],You have a tail?,You have a tail ? I have two kids in kindergarten .,['I have two children that are in their kindergarten.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am afraid of dogs.] Dialogue: [I am doing well , how are you ?]","I am doing well, how are you?","I am doing well , how are you ?",['I am afraid of dogs.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I like to drink Scotch to relax.] Dialogue: [Too bad , you should relax with a vintage Scotch , like me .]","Too bad, you should relax, like me.","Too bad , you should relax with a vintage Scotch , like me .",['I like to drink Scotch to relax.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My name is lucy.] Dialogue: [Hi , how are you today ?]","Hi, how are you today?","Hi , how are you today ?",['My name is lucy.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My name is Lucy.] Dialogue: [Mine is Lucy , very nice .]",Very nice.,"Mine is Lucy , very nice .",['My name is Lucy.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I was born in the Late War.] Dialogue: [Were you born in the Late War like I was ?],Were you born like I was?,Were you born in the Late War like I was ?,['I was born in the Late War.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I was born in the Late War.] Dialogue: [Haha . Do they like Heart's songs ? Heart is the best band .],Haha. Do they like Heart's songs? Heart is the best band.,Haha . Do they like Heart's songs ? Heart is the best band .,['I was born in the Late War.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I do not want kids.] Dialogue: [That is cool . Do you want children ? I do not],That is cool. Do you want? I do not.,That is cool . Do you want children ? I do not,['I do not want kids.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I only have one leg.] Dialogue: [Having just one leg , I have to be good at multi-tasking .]",I have to be good at multi-tasking.,"Having just one leg , I have to be good at multi-tasking .",['I only have one leg.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am an old man.] Dialogue: [I am in my sixties but feel older some days .],[EMPTY],I am in my sixties but feel older some days .,['I am an old man.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am a furry.] Dialogue: [Well , I am what is known as a furry , and I would love to have a tail .]","Well, I am.","Well , I am what is known as a furry , and I would love to have a tail .",['I am a furry.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am a 22-year-old girl.] Dialogue: [I am 22 , how old are you ?]",How old are you?,"I am 22 , how old are you ?",['I am a 22-year-old girl.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I like to drink Scotch to relax.] Dialogue: [Not much of a foodie . Now , cold Scotch on the rocks . Bliss . What is yours ?]","Not much of a foodie. Now, cold. Bliss. What is yours?","Not much of a foodie . Now , cold Scotch on the rocks . Bliss . What is yours ?",['I like to drink Scotch to relax.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I hope to retire someday soon.] Dialogue: [That is pretty boring . I just want to retire to my horse babies .],That is pretty boring. I just want my horse babies.,That is pretty boring . I just want to retire to my horse babies .,['I hope to retire someday soon.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I never finished high school.] Dialogue: [I sometimes regret not going back to high school .],I sometimes regret.,I sometimes regret not going back to high school .,['I never finished high school.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am afraid of dogs.] Dialogue: [The dog is a Wirehaired Terrier and he is terrifying ! Most dogs scare me .],The dog is a Wirehaired Terrier.,The dog is a Wirehaired Terrier and he is terrifying ! Most dogs scare me .,['I am afraid of dogs.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I live in Ohio.] Dialogue: [You should take up hiking . It is beautiful in the country in Ohio .],You should take up hiking. It is beautiful in the country.,You should take up hiking . It is beautiful in the country in Ohio .,['I live in Ohio.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am a single mom of two boys.] Dialogue: [I just have the two boys , and am a single mom . We do not have pets .]",We do not have pets.,"I just have the two boys , and am a single mom . We do not have pets .",['I am a single mom of two boys.']
